mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
65536                  26.14             18.51             15.96             52.22
131072                 46.44             31.30             27.06             44.03
262144                150.80             78.58             75.28              4.07
524288                294.49            147.65            139.14              0.00
1048576               533.04            271.55            261.79              0.11
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ireduce

# OSU MPI Non-blocking Reduce Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                       6.75              4.91              3.99             53.75
8                       5.00              3.59              2.69             47.67
16                      5.15              3.44              2.77             38.10
32                      4.58              3.04              2.59             40.55
64                      5.17              3.60              2.85             44.85
128                     5.50              4.01              3.44             56.83
256                     5.67              4.16              3.51             56.89
512                     5.49              4.01              3.46             57.29
1024                    6.22              4.58              3.84             57.37
2048                    7.70              5.87              4.45             58.90
4096                    7.71              5.71              4.50             55.65
8192                    8.62              6.28              5.27             55.54
16384                  14.19             10.78              9.43             63.84
32768                  19.32             14.32             13.13             61.88
65536                  26.18             15.35             13.93             22.19
131072                 47.95             26.09             24.38             10.35
262144                 94.12             49.72             47.03              5.57
524288                182.32             93.23             89.45              0.41
1048576               359.25            181.68            174.81              0.00
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iscatter

# OSU MPI Non-blocking Scatter Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.73              3.44              2.71             52.09
2                       4.67              3.45              2.76             55.78
4                       5.65              4.17              2.74             46.08
8                       5.36              4.01              2.76             51.12
16                      5.64              4.30              2.73             50.89
32                      5.15              4.01              2.87             60.22
64                      4.83              3.44              2.78             50.19
128                     5.86              4.57              3.51             63.15
256                     6.04              4.73              3.77             65.20
512                     6.21              4.72              3.56             58.19
1024                    6.68              5.29              4.02             65.63
2048                    6.59              5.15              4.24             65.93
4096                    7.30              5.71              4.95             67.92
8192                    9.00              6.87              6.25             65.84
16384                  12.65              9.68              8.94             66.82
32768                  17.97             13.69             12.57             65.91
65536                  29.62             22.42             19.78             63.58
131072                 52.28             38.45             36.77             62.38
262144                126.86             77.41             71.43             30.76
524288                236.27            148.90            143.46             39.09
1048576               443.41            271.89            261.62             34.44
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iscatterv

# OSU MPI Non-blocking Scatterv Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       5.53              4.35              3.03             61.08
2                       5.57              4.20              3.00             54.38
4                       5.86              4.36              3.21             53.41
8                       5.99              4.20              3.07             41.96
16                      5.54              4.20              2.92             54.06
32                      5.55              4.05              3.11             51.73
64                      5.72              4.21              3.04             50.17
128                     6.32              4.79              3.55             56.69
256                     6.18              4.63              3.78             58.76
512                     6.19              4.64              3.79             59.18
1024                    6.95              5.35              4.30             62.87
2048                    7.18              5.35              4.36             58.07
4096                    7.43              5.78              4.78             65.47
8192                    9.25              6.90              5.89             60.16
16384                  13.29             10.28              9.17             67.16
32768                  19.83             15.35             14.08             68.22
65536                  31.75             24.43             22.95             68.11
131072                 51.32             37.49             35.48             61.02
262144                124.98             78.13             73.50             36.26
524288                237.13            147.50            140.81             36.35
1048576               448.79            276.58            266.64             35.42
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_reduce

# OSU MPI Reduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                       2.25
8                       2.38
16                      2.28
32                      2.19
64                      2.65
128                     2.60
256                     2.77
512                     2.91
1024                    2.83
2048                    3.53
4096                    3.60
8192                    4.55
16384                   6.40
32768                   8.74
65536                  13.97
131072                 25.45
262144                 70.43
524288                125.99
1048576               235.55
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_reduce_scatter

# OSU MPI Reduce_scatter Latency Test v5.6.3
# Size       Avg Latency(us)
4                       2.80
8                       2.59
16                      2.58
32                      2.71
64                      2.60
128                     2.75
256                     3.34
512                     3.64
1024                    3.81
2048                    4.81
4096                    5.05
8192                    6.33
16384                   8.53
32768                  12.35
65536                  19.89
131072                 38.48
262144                 77.74
524288                159.54
1048576               284.44
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_scatter

# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.48
2                       2.48
4                       2.19
8                       2.01
16                      1.92
32                      2.23
64                      2.17
128                     3.05
256                     3.12
512                     2.89
1024                    2.92
2048                    3.41
4096                    3.96
8192                    4.92
16384                   6.42
32768                  10.97
65536                  15.47
131072                 33.89
262144                 71.83
524288                139.05
1048576               268.92
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_scatterv

# OSU MPI Scatterv Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.56
2                       2.64
4                       2.40
8                       2.23
16                      1.87
32                      1.87
64                      2.57
128                     2.60
256                     3.01
512                     2.90
1024                    3.24
2048                    3.59
4096                    3.89
8192                    4.95
16384                   6.21
32768                   9.23
65536                  18.46
131072                 30.37
262144                 70.27
524288                147.24
1048576               268.23
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bibw
# OSU MPI Bi-Directional Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       4.31
2                       7.79
4                      15.79
8                      45.09
16                     78.77
32                    180.19
64                    299.61
128                   579.30
256                  1125.76
512                  1894.95
1024                 3323.52
2048                 5239.89
4096                 7903.60
8192                 8901.83
16384                8852.28
32768                9127.57
65536                9012.10
131072               9503.66
262144              12138.39
524288              12234.10
1048576             12295.86
2097152             12317.01
4194304             12284.60
