mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

       Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
             82.88             67.50             59.15             74.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ibcast

# OSU MPI Non-Blocking Broadcast Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      43.98             34.01             31.85             68.69
2                      44.24             34.30             31.97             68.91
4                      43.06             33.28             31.37             68.83
8                      43.63             33.73             31.94             68.99
16                     43.33             33.38             31.61             68.51
32                     41.73             32.96             31.33             71.99
64                     54.89             46.18             44.07             80.22
128                    53.03             43.73             41.65             77.67
256                    58.44             50.92             48.41             84.47
512                    55.54             47.05             44.88             81.08
1024                   71.14             63.72             60.99             87.84
2048                  126.83             98.25             94.17             69.65
4096                  145.07            125.16            120.39             83.46
8192                  252.84            243.17            234.37             95.88
16384                 319.41            131.72            126.67              0.00
32768                 407.39            391.88            377.50             95.89
65536                1683.89            814.90            787.35              0.00
131072               2614.35           1196.32           1156.10              0.00
262144               3960.98           1566.98           1514.57              0.00
524288               7423.93           2741.88           2649.92              0.00
1048576             13768.57           4892.35           4730.54              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_igather

# OSU MPI Non-blocking Gather Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      44.48             34.43             32.29             68.86
2                      44.15             34.65             32.59             70.85
4                      42.60             33.00             30.74             68.77
8                      43.80             33.98             31.88             69.22
16                     43.34             33.61             31.78             69.39
32                     42.77             34.83             32.98             75.93
64                     41.45             34.05             32.46             77.22
128                    43.95             36.48             34.69             78.46
256                    49.15             41.73             39.74             81.32
512                    53.97             46.64             44.25             83.43
1024                   63.88             55.68             53.11             84.57
2048                   91.70             69.84             66.59             67.16
4096                  160.12            141.80            135.73             86.51
8192                  203.07            185.95            179.06             90.44
16384                 205.92            146.97            141.33             58.29
32768                 408.44            391.07            377.24             95.40
65536                1218.22            466.95            450.54              0.00
131072               2724.04           1198.16           1157.29              0.00
262144               4091.97           1581.20           1527.36              0.00
524288               7367.05           2743.15           2649.87              0.00
1048576             13937.50           4899.18           4731.78              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_igatherv

# OSU MPI Non-blocking Gatherv Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      44.46             34.24             32.02             68.07
2                      44.06             34.40             32.02             69.83
4                      44.03             34.24             32.10             69.52
8                      43.62             33.87             31.68             69.21
16                     43.98             33.93             31.93             68.54
32                     42.53             33.95             32.19             73.33
64                     43.38             34.91             33.04             74.38
128                    41.58             34.06             32.28             76.71
256                    51.54             43.96             41.93             81.93
512                    52.65             45.13             42.78             82.42
1024                   64.05             55.71             53.29             84.35
2048                   93.57             78.53             75.19             80.00
4096                  159.71            141.06            135.68             86.26
8192                  221.68            193.98            186.42             85.14
16384                 236.53            191.16            184.14             75.37
32768                 408.97            391.38            377.60             95.34
65536                1223.23            472.23            455.54              0.00
131072               2725.02           1198.06           1156.93              0.00
262144               4071.39           1566.65           1513.01              0.00
524288               7365.52           2743.48           2650.20              0.00
1048576             13940.01           4898.65           4731.98              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ireduce

# OSU MPI Non-blocking Reduce Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                      47.08             35.22             33.30             64.37
8                      44.27             32.82             31.37             63.49
16                     44.02             32.74             31.18             63.83
32                     44.00             32.77             31.31             64.14
64                     44.68             33.35             31.48             64.01
128                    41.30             32.99             31.29             73.43
256                    51.32             43.09             41.10             79.98
512                    55.13             46.53             44.32             80.58
1024                   68.07             57.44             53.72             80.21
2048                   94.92             85.59             82.10             88.63
4096                  163.87            121.93            117.06             64.17
8192                  218.37            193.09            185.96             86.41
16384                 233.90            188.55            181.76             75.05
32768                 414.10            392.83            377.24             94.36
65536                 497.09            404.31            389.22             76.16
131072                988.51            799.14            771.53             75.46
262144               1932.25           1398.92           1351.11             60.53
524288               3721.91           2403.06           2321.07             43.18
1048576              6507.65           4799.73           4637.14             63.17
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iscatter

# OSU MPI Non-blocking Scatter Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      44.45             34.01             31.74             67.10
2                      43.65             34.10             32.13             70.28
4                      42.99             33.31             31.34             69.13
8                      42.94             33.35             31.37             69.45
16                     47.34             34.88             31.45             60.38
32                     45.86             35.93             32.45             69.39
64                     49.07             37.79             33.12             65.96
128                    49.75             40.43             36.66             74.57
256                    68.26             57.67             51.98             79.62
512                    66.80             56.12             49.57             78.45
1024                   78.23             66.97             60.81             81.49
2048                   99.80             88.98             81.76             86.76
4096                  166.15            142.86            130.70             82.18
8192                  237.71            201.69            186.10             80.65
16384                 234.77            180.57            163.31             66.81
32768                 447.49            425.59            396.48             94.48
65536                1324.76            508.08            485.40              0.00
131072               2820.25           1207.90           1159.73              0.00
262144               4315.87           1641.21           1558.90              0.00
524288               7571.39           2780.97           2667.81              0.00
1048576             14167.28           5069.87           4898.30              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iscatterv

# OSU MPI Non-blocking Scatterv Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      45.47             35.86             33.69             71.47
2                      44.14             34.65             32.77             71.03
4                      42.31             32.82             31.21             69.60
8                      42.93             33.50             31.61             70.17
16                     43.61             33.99             31.81             69.78
32                     42.71             33.63             31.83             71.46
64                     41.26             33.68             31.96             76.29
128                    39.84             32.45             30.93             76.11
256                    49.64             42.23             40.45             81.68
512                    51.80             44.28             41.72             81.98
1024                   64.24             56.02             53.42             84.61
2048                   90.63             62.96             60.24             54.06
4096                  140.28            129.03            123.77             90.91
8192                  194.03            157.34            151.52             75.78
16384                 218.39            149.57            143.43             52.01
32768                 409.40            392.00            378.42             95.40
65536                1218.64            469.74            453.55              0.00
131072               2714.34           1197.29           1156.56              0.00
262144               4057.81           1565.28           1512.44              0.00
524288               7346.08           2747.38           2651.93              0.00
1048576             13863.97           4894.61           4730.95              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_reduce

# OSU MPI Reduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      32.59
8                      32.55
16                     33.10
32                     33.40
64                     32.74
128                    32.31
256                    38.70
512                    47.26
1024                   55.29
2048                   81.73
4096                  109.54
8192                  186.01
16384                 186.58
32768                 376.04
65536                 449.21
131072               1150.13
262144               1512.17
524288               2647.73
1048576              4725.31
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_reduce_scatter

# OSU MPI Reduce_scatter Latency Test v5.6.3
# Size       Avg Latency(us)
4                      57.01
8                      52.86
16                     51.53
32                     51.94
64                     51.78
128                    51.71
256                    52.40
512                    51.26
1024                   51.17
2048                   51.23
4096                  105.95
8192                  157.56
16384                 407.80
32768                 458.96
65536                 570.92
131072               1671.88
262144               2149.24
524288               3683.13
1048576              5643.40
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_scatter

# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                      30.41
2                      32.68
4                      33.35
8                      33.17
16                     33.61
32                     30.85
64                     33.25
128                    32.02
256                    40.98
512                    47.19
1024                   54.32
2048                   75.56
4096                  134.28
8192                  183.05
16384                 180.56
32768                 376.28
65536                 451.79
131072               1156.68
262144               1511.89
524288               2648.82
1048576              4730.40
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_scatterv

# OSU MPI Scatterv Latency Test v5.6.3
# Size       Avg Latency(us)
1                      33.29
2                      33.10
4                      32.80
8                      33.71
16                     33.39
32                     32.23
64                     33.53
128                    32.90
256                    44.97
512                    46.77
1024                   54.45
2048                   67.94
4096                  114.73
8192                  122.57
16384                 174.88
32768                 376.31
65536                 453.28
131072               1158.10
262144               1511.40
524288               2648.70
1048576              4756.25
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bibw
# OSU MPI Bi-Directional Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.16
4                       2.27
8                       4.43
16                      8.24
32                     12.67
64                     20.58
128                    29.89
256                    54.91
512                    89.77
1024                  147.17
2048                  171.92
4096                  177.29
8192                  229.02
16384                 237.06
32768                 242.72
65536                 122.36
131072                122.93
262144                123.26
524288                123.58
1048576               123.64
2097152               123.72
4194304               125.68
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bw
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.27
2                       0.60
4                       1.14
8                       2.03
16                      4.23
32                      6.80
64                     10.29
128                    14.71
256                    26.19
512                    43.69
1024                   86.94
2048                   87.38
4096                   99.86
8192                  116.51
16384                 118.99
32768                 121.58
65536                 121.34
131072                122.14
262144                123.17
524288                123.39
1048576               123.58
2097152               123.67
4194304               123.71
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_latency
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                      25.44
1                      25.47
2                      25.02
4                      24.71
8                      24.68
16                     24.72
32                     24.60
64                     24.69
128                    24.90
256                    32.40
512                    52.05
1024                   47.22
2048                  135.30
4096                  188.17
8192                  211.11
16384                 480.54
32768                 530.41
65536                1118.47
131072               1843.27
262144               2850.94
524288               4895.12
1048576              9176.21
2097152             17551.65
4194304             34513.75
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_latency_mp
# OSU MPI Multi-process Latency Test v5.6.3
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2
# Size          Latency (us)
0                      25.01
1                      24.70
2                      24.55
4                      24.52
8                      24.68
16                     24.52
32                     24.95
64                     24.53
128                    24.58
256                    24.63
512                    29.02
1024                   47.03
2048                  135.00
4096                  187.84
8192                  505.45
16384                 562.04
32768                 570.20
65536                1080.37
131072               1829.74
262144               2954.65
524288               4831.25
1048576              9188.00
2097152             17580.23
4194304             34455.52
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_mbw_mr
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       0.24         243488.17
2                       0.51         253130.81
4                       0.97         242495.29
8                       1.90         237273.97
16                      3.45         215379.86
32                      6.05         189115.74
64                      8.73         136384.75
128                    12.73          99472.53
256                    21.52          84060.83
512                    31.88          62260.51
1024                   63.82          62319.77
2048                   84.29          41155.30
4096                   98.88          24141.76
8192                  109.90          13415.43
16384                 116.42           7105.83
32768                 120.98           3691.98
65536                 120.54           1839.33
131072                121.96            930.51
262144                122.91            468.86
524288                123.35            235.26
1048576               123.54            117.82
2097152               123.65             58.96
4194304               123.70             29.49
