,rank,mesh,ranks,omp_threads,ranks_per_node,timesteps,dt,max_iters,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,kern_0,kern_1,kern_2,SchurInv_kern
13,13,256,32,1,42,100,5e-06,100,0.7852609157562256,326.6875,12.793025732040405,354.875,57.52954387664795,369.3125,71.10783052444458,0.001190531998872757,0.0003233831375837326,1.438194885849953e-06,34.7887655000668
14,14,256,32,1,42,100,5e-06,100,1.3533618450164795,327.125,12.796034336090088,353.875,57.53368401527405,367.1875,71.68308019638063,0.0011974251829087734,0.0003167970571666956,1.1620577424764631e-06,34.850065527716644
15,15,256,32,1,42,100,5e-06,100,1.3521416187286377,324.375,12.79659128189087,354.25,57.53333115577698,367.5625,71.68206405639648,0.001181676983833313,0.00033111381344497204,1.3399403542280195e-06,34.664746975060545
16,16,256,32,1,42,100,5e-06,100,1.3774418830871582,327.0625,12.789916038513185,356.625,57.53631329536438,373.5625,71.70367121696472,0.001252808142453432,0.00026421691291034216,1.1150259524583817e-06,34.718923198990524
17,17,256,32,1,42,100,5e-06,100,1.457430362701416,326.9375,12.79619073867798,354.9375,57.533310174942024,366.8125,71.7869312763214,0.0012201571371406315,0.0002941240090876817,1.4468096196651459e-06,34.66790621099062
18,18,256,32,1,42,100,5e-06,100,1.4967355728149414,326.6875,12.790810823440552,354.75,57.53194260597229,369.625,71.81948900222778,0.0011982040014117956,0.0003172720316797495,1.2789387255907059e-06,34.63093656115234
19,19,256,32,1,42,100,5e-06,100,1.6825239658355713,326.9375,12.796391725540161,355.125,57.529571771621704,371.125,72.00848746299744,0.001216930104419589,0.0002979929558932781,1.4000106602907179e-06,34.75358514045365
20,20,256,32,1,42,100,5e-06,100,1.5564031600952148,327.125,12.795632600784302,354.75,57.49167585372925,371.25,71.84371161460876,0.0012250179424881935,0.000293500954285264,1.2719538062810898e-06,34.901024652644985
21,21,256,32,1,42,100,5e-06,100,1.303523302078247,326.875,12.794179916381836,354.625,57.53630113601685,370.6875,71.63400435447694,0.0012144302017986774,0.00030138297006487846,1.3471581041812895e-06,34.84069972974248
22,22,256,32,1,42,100,5e-06,100,1.4676156044006348,327.125,12.795027256011965,355.25,57.533601999282844,369.5625,71.79624485969543,0.0012178830802440645,0.00029908609576523304,1.248205080628395e-06,34.727792682358995
23,23,256,32,1,42,100,5e-06,100,1.2668254375457764,327.375,12.79536485671997,355.3125,57.51799726486206,370.5,71.58018755912782,0.001198027981445193,0.00031863292679190636,1.225154846906662e-06,34.60854471637867
24,24,256,32,1,42,100,5e-06,100,1.7282121181488037,327.4375,12.792148113250732,355.4375,57.53530526161194,372.0,72.05566549301146,0.0012076532002538445,0.000308373011648655,1.1741649359464643e-06,34.73311964981258
25,25,256,32,1,42,100,5e-06,100,1.6428227424621582,326.875,12.795739889144896,354.125,57.53598713874817,369.25,71.97454977035521,0.001219139201566577,0.00029614684171974664,1.2970995157957077e-06,34.868489855201915
26,26,256,32,1,42,100,5e-06,100,1.325197696685791,327.0625,12.796471118927002,354.4375,57.53630590438843,369.0625,71.65797472000122,0.0011835219338536265,0.00033254106529057026,1.193024218082428e-06,34.869584826985374
27,27,256,32,1,42,100,5e-06,100,1.2842183113098145,327.1875,12.796290397644045,355.4375,57.533668518066406,368.25,71.61417722702026,0.0012175419833511116,0.00029770378023386,1.125037670135498e-06,34.923357159132145
28,28,256,32,1,42,100,5e-06,100,1.3669586181640625,327.125,12.796210765838625,354.8125,57.533321142196655,366.6875,71.69649052619934,0.001181294908747077,0.0003341499250382185,1.2139789760112762e-06,34.573667162796475
29,29,256,32,1,42,100,5e-06,100,0.7704613208770752,327.0,12.796299695968628,355.125,57.53194236755371,369.625,71.0987033843994,0.001214063027873635,0.000300857936963439,1.4770776033401491e-06,34.538314731791615
30,30,256,32,1,42,100,5e-06,100,1.284614324569702,327.1875,12.796082019805908,354.5,57.53330421447754,368.0,71.61400055885316,0.0012240009382367134,0.00028969720005989075,1.6049016267061234e-06,34.71074216905981
31,31,256,32,1,42,100,5e-06,100,1.3221745491027832,327.0,12.796476125717163,355.1875,57.52950072288513,370.4375,71.64815139770508,0.0012347928714007141,0.00027897185645997524,1.225154846906662e-06,34.781939312350005
0,0,256,42,1,42,100,5e-06,100,1.4432356357574463,382.8125,12.358261108398438,407.5625,58.64327025413513,408.4375,72.44476699829102,0.0016439759638160467,0.001705000875517726,1.6370322555303576e-06,34.13592424686067
1,1,256,42,1,42,100,5e-06,100,1.057159423828125,327.25,12.360403776168823,354.5625,58.65180206298828,366.5,72.06936526298524,0.0009693629108369349,0.002384132007136941,1.2621749192476273e-06,34.30371533730067
2,2,256,42,1,42,100,5e-06,100,1.6722304821014404,327.375,12.353375911712645,354.6875,58.648567914962776,368.0,72.67417430877686,0.00295539409853518,0.00039077317342162127,2.3248139768838882e-06,34.22469755192287
3,3,256,42,1,42,100,5e-06,100,1.7359137535095217,327.1875,12.356104373931885,355.5,58.64952969551086,367.5625,72.74154782295226,0.0009405261371284724,0.002411911962553859,1.8200371414422989e-06,34.141565909842036
4,4,256,42,1,42,100,5e-06,100,1.4280333518981934,327.0625,12.360785722732544,354.8125,58.65185499191284,365.3125,72.44067406654358,0.0009815238881856203,0.0023709970992058516,1.5741679817438126e-06,34.07393209938891
5,5,256,42,1,42,100,5e-06,100,1.8950166702270508,327.1875,12.356796979904175,355.875,58.65141892433166,366.875,72.90323257446289,0.0009399529080837963,0.002412956906482577,1.1909287422895432e-06,34.3396830514539
